Dates,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY,avg_USA
2019-09-09,99.47086565675622,46.67246428034006,45.42215306700657,68.52205667642039,85.27292664279165,73.9140860183864,43.17988029571372,73.60425247224578,44.428377491829366,82.03109816507127,64.4898764875919,173.8223127527791,42.924112611920826,73.45174520060179,54.25289269571068,39.129599926771725,67.54714143172303,43.16844247242803,45.45544159172746,50.9035233258105,43.94531996501808,61.48864763025277,54.13375714254956,63.604444723328676,49.68094689444852,42.872905319133395,80.17952841862716,51.49490269947728,50.7988176474716,48.6023765735577,70.73401356856485,53.70601452374378,60.47443584739101,86.5048539136943,68.0552489875853,39.665482064721424,53.64317593393302,79.79992092434034,52.32582255931703,36.6476906891434,28.376170255524567,41.950632840690645,60.00703618531563,58.051738341278245,63.140340920941114,71.02714733834108,53.446777078862226,80.83061047642566,50.2702860842812,81.5781056914658,57.4635489255194,45.734850179052,68.93158683089378,60.883592196953146
2019-09-16,109.30705592922943,42.61600224369815,55.434653504521144,62.60751277387887,79.7040494958177,73.11714577457717,45.16879732848549,70.15638307099287,43.80670047260088,78.57764003699755,62.57206770135685,132.23031178620286,43.4316559192408,72.83636518712663,55.06171388115042,42.14627478650353,59.5586072599291,42.77953590472683,46.480228166925116,51.300376422420406,44.660017437317066,71.41231118548208,54.8784690381474,63.0791776535048,51.1107259514036,43.15681944202503,64.90481736826965,52.25331963709309,41.985046940211625,54.177323090476925,56.61578571356014,48.19849932274993,56.77285796497736,82.6056220369569,68.44518250062694,42.00457480620578,55.7506754847335,75.685856744105,52.441394952753456,35.343092687965076,48.611910856779424,46.60140230051402,63.534433778458045,56.54153546702083,58.87589827671791,68.51892757069244,54.073295629912955,68.22491712623626,62.406965022651605,83.85896347994016,59.65586557736123,42.20766421995138,64.96779506040968,59.66894758436966
2019-09-23,95.83154276050402,42.94732807427661,48.7545849242422,62.47676497907914,81.35763527987605,76.56706452544493,47.80020895039796,75.40439384547129,47.1087228319549,80.60944457431704,62.84989640970965,148.98744701414918,44.76381279630034,69.83898687775553,52.571818113646096,43.293837402841355,63.28086775839475,43.291437046504974,46.20252851377828,60.60867104172164,44.5336130709548,70.87198064239975,52.9672745468298,64.28004012833632,50.82809226027479,48.9922149120162,62.697571141917365,47.66700589232063,65.41434399591003,50.520313111527294,55.71930510621252,48.65451179671071,62.052003295069525,84.86734632207978,67.81856355487014,44.611657593171046,47.97911132903312,78.46371847355005,53.136243974660594,32.99062600125024,44.72154403085216,46.45536309356071,72.95881909901013,56.66871225668882,63.389173342401435,70.17087529952367,53.710678162880754,101.69238703493882,39.979200771123,84.76980890451213,54.201192697307356,38.99578769769399,59.17538211366713,60.68870670516266
2019-09-30,124.64459861323358,42.89766313418794,50.18867504816245,65.27725752335728,80.23138032882433,76.25574041704013,41.33805970459269,73.5454387883582,55.54888833268068,78.1827634502027,63.080597228004905,154.04638253618978,46.96718541761095,75.41221324282903,55.04164972479486,46.32313977505692,58.215570992028596,48.719125534572,42.33779198694873,58.98948142878758,41.63937426305731,64.69206385673125,52.26771222504581,65.82607008062422,51.600926745058004,46.39551852765096,69.27304449511482,53.97703611392836,63.62090427346647,50.35258967222803,48.57471612599554,49.67127478977146,59.1239179590121,78.46858799079129,65.93257248132149,42.362119799042276,49.11474542554613,74.00446660164276,52.61956306923592,46.28055608889628,40.045018378828395,46.66812972139257,65.97325320071694,61.309784721074244,62.724677037707345,68.31939081064765,57.66933514226407,132.38532821562694,61.6529565956656,82.0843065143787,56.52744932115849,37.34464342983983,75.7258470673472,62.48059403675985
2019-10-07,116.15910437341566,50.33064902538075,46.63865254680435,68.79114725215895,76.81538631325873,80.27111303997656,45.0404636931624,73.12631276800563,37.91857853626508,76.3926265796198,62.46414394528318,149.1088555251656,47.29334272568757,65.64974454574865,54.578667460656824,50.10761304954392,59.706464954446275,52.58958366448906,44.033025466119405,58.04355590464193,43.70195483853198,56.00790726770993,55.0916401702468,58.19549048000996,52.21096638781929,49.896219048488405,75.64357080405597,51.9857911279754,64.7069512419156,53.72701618955502,56.63546841603773,46.852435488630455,59.92986483797756,79.8717127586876,66.86402857151414,42.9636069047064,55.3559378519029,70.3200334322609,55.52000584179572,37.49574976867429,55.39195230862712,48.87471553159442,67.72425395281161,66.33131842780946,63.26266105605646,68.58448425912805,56.8652281520792,92.08172558289036,48.033363159518565,77.25241926292308,54.07569711921661,47.3362281197338,59.73909965574601,61.388462818612474
2019-10-14,116.89857875689509,46.076146898489476,49.443305840704525,63.92123454571065,78.66766208091934,82.28503610068178,43.581124026431866,72.51387375573873,47.7566035272237,80.17543567880512,64.61967519027478,148.68238105923285,45.57015998247443,80.74998843270919,56.11895819887146,51.57438580093222,59.148184433420745,47.78577355678358,50.42861132062329,62.89535841667547,45.993842337160956,61.983154371389595,56.00930842019157,69.37631356798303,56.38003889002752,43.86752511680268,74.80904805075002,56.592570216666296,70.05449039846417,57.478449001982774,54.679282863021356,48.018149858230764,62.35771755918828,80.1035902849369,70.35468742124971,42.9337687376236,54.065732071938896,73.50272068214903,54.86966224989494,38.675350686180096,39.5922516751314,48.5192506458033,68.31468470023083,59.69770149658492,63.732725172695,78.06586686994855,59.39757048738452,143.73424687822262,76.65367720501091,78.93477440386242,51.86846146024598,45.78626293520143,71.51766512403337,64.27949093290162
2019-10-21,130.94636434846214,42.911345054965565,49.77925089638664,63.96032352827019,77.30603981357072,74.28394284478955,45.44142827781599,79.56865508374177,40.13195219116175,80.48782216345454,62.176988648507404,143.48206903564125,47.00068953678832,74.18246314886477,53.503605752403935,46.90635610174152,61.4868035360713,40.40920192819965,42.495321900499015,56.001928738726996,47.569382066793224,70.18035945716932,54.986706050306886,66.74813041497072,50.694986834689004,49.472368185434334,67.93084550822985,50.48074144390347,72.6637599605003,54.84816743103539,58.15640294342346,47.084577349270496,59.02411529880071,83.78513694452548,68.04992884967707,43.767799694116995,50.20588174354704,70.88182182616272,57.747108541830244,37.892492820135104,45.75437341716468,47.130699489688006,64.72015444128607,53.08435864425847,61.58931111369467,66.94549414546049,57.36988656455243,50.47139715258243,73.78042659345188,76.60459594782357,56.85070634043069,44.861257104499664,65.46933119793185,61.11821241598886
2019-10-28,127.13351340054756,46.41763585914631,47.2191346394485,54.210896848526716,75.06042840251303,61.601709934649584,44.40111783609397,68.36270444134088,42.330759152194155,76.72704738159545,61.0252949343074,152.49530314655408,47.49163149737221,76.93476999689703,52.4400928709025,39.965542437909214,55.987488839562886,47.27711182417965,39.84049679356996,57.00842261123189,44.788744214208776,64.9595641947932,52.66210298940182,63.59000915717824,49.503405645117425,44.58030807425748,57.637417291302484,48.66358569602443,65.82572383306483,47.82669291367217,55.633791116733505,48.40810356482253,59.132327240840176,77.66564638096395,64.96785946186877,42.11721808750594,48.622559185488996,65.7673527326824,53.94617201938402,39.888945935837,48.06867254439888,44.45392416652547,60.23050268647952,50.70839539588542,60.99686290801172,62.2578115587875,50.834977851883814,56.120367853787776,49.41951660006831,76.70347382258404,62.26231587458705,48.246741908217345,66.42695032002088,58.61979520896091
2019-11-04,102.12537905714109,41.31810286569304,50.44822191440266,61.53747456230798,77.20467848791026,77.55128331258197,47.96935108708354,79.7974112191673,39.93655777789419,80.51328537166718,63.4048893510064,148.77043091389172,49.68448725053025,80.00247578833758,58.4748482115239,43.42275391063029,64.73746061257823,47.02154762130209,42.36430801617276,61.74983170716642,49.26408534060074,66.53161106989215,52.76726531561131,69.31275613459192,55.89690062119978,46.627539202049284,67.65683959268897,53.35258701192122,57.027962052917474,52.50317650610814,59.22121379056533,54.78598517026041,60.236550049985816,78.69352729021107,69.3861193359301,43.21169587559515,47.54649305386038,68.64447985428129,55.44583304669237,33.62315004105365,47.08491378921703,47.079778087517965,75.1605483222168,54.888980997132904,64.20705789383322,57.23593539686861,60.73212024037481,86.92506871323248,60.52452642330246,90.53275874690772,59.26146352886072,36.81557821276061,71.92188452675882,61.7385125334715
2019-11-11,123.56228546166766,45.18865114732618,46.20632513445833,62.56351156267578,77.08577849479299,71.56354351426977,46.47253421072135,75.46902605296115,54.55573564663087,77.96788344042633,61.948504592019255,163.7010786112333,48.0334767689255,68.94891101061502,56.488110620515286,41.93059081303004,63.60146867870361,40.164809058305565,43.328767976298096,61.029188201751396,50.026907465599756,53.31838351531477,53.094185240885686,65.89300354218251,52.44318508121388,47.49265216951075,72.20442343284938,52.66133199915232,72.09726374587355,51.24701211497133,59.44547283142818,52.033366371436145,57.808444292994004,80.0532649321065,70.48533423882179,42.21217354239444,48.97473664850313,70.33145837921305,51.84838011491978,53.506615225876864,52.42386488388882,49.000954346470955,80.2324841306163,54.63885332255786,60.52908011204129,69.7993203440095,57.4595431675527,46.279521333607185,72.58923459129085,78.57649076348577,53.79004087719883,42.15063496748482,71.70108497155405,61.81431856027045
