location,mobility_before_distancing,mobility_after_distancing,general_reduction,median_reduction,median_seasonal_reduction,num_users,num_records
Irvine,77.98412550863534,26.682426126802675,65.78%,91.70%,90.05%,4384,520725
Newark,54.16593371855259,19.280345237653933,64.41%,85.30%,76.79%,5884,894003
Toledo,39.17898431753546,21.305361690881462,45.62%,85.27%,68.18%,3610,542737
Durham,49.02019821202055,20.722981669674233,57.73%,88.63%,86.15%,5536,1064773
Chula Vista,56.21240127855371,24.45306368445485,56.50%,88.91%,60.63%,2797,349882
Fort Wayne,42.401807082514964,19.755712000467152,53.41%,95.52%,87.48%,3224,359011
Jersey City,58.61082171616177,16.084871560892456,72.56%,96.33%,95.53%,4360,624954
St Petersburg,65.43061146234658,23.35406742405053,64.31%,92.56%,87.84%,3828,641235
Laredo,38.15427938395245,24.177621500077677,36.63%,86.04%,50.83%,2123,249192
Madison,44.34032977313488,11.043578195335355,75.09%,88.81%,82.00%,900,75225
Chandler,58.58219249545972,23.189153971049162,60.42%,88.62%,76.26%,3296,396197
Buffalo,43.13686355327243,24.354210354441705,43.54%,87.60%,73.31%,4939,808327
Lubbock,52.92495933347216,34.07950229098064,35.61%,67.07%,66.98%,5822,642634
Scottsdale,87.99888685413957,36.217928138751155,58.84%,89.07%,80.58%,4580,505777
Reno,57.35119881815032,21.623660928058385,62.30%,91.36%,80.58%,4671,562289
Glendale,54.35098792049287,16.196837388168788,70.20%,88.87%,60.59%,241,46269
Gilbert,63.75157067987198,30.845078630008764,51.62%,91.49%,79.26%,3734,369182
Winston-Salem,38.00744321098581,24.860713502088426,34.59%,83.45%,79.24%,3471,520556
North Las Vegas,47.10701532206414,25.528349694045428,45.81%,82.45%,70.90%,2726,413057
Norfolk,45.69127590442831,23.128866979514715,49.38%,81.87%,73.13%,5078,1101374
Chesapeake,42.16689984652348,19.26456135463247,54.31%,78.43%,70.75%,2132,385428
Garland,36.06478280119492,21.865803191926275,39.37%,75.73%,64.89%,3139,450015
Irving,56.17356093757976,23.78939979061853,57.65%,83.87%,65.90%,3835,579768
Hialeah,33.6622484046403,17.195527660518,48.92%,86.01%,72.55%,1766,208268
Fremont,78.64473542865281,29.460481111611482,62.54%,95.13%,91.84%,2775,366376
Boise,64.74933073806157,26.576596891223787,58.95%,91.88%,77.80%,3077,390411
Richmond,53.395156997199685,25.02865508855553,53.13%,85.31%,81.10%,8394,1312405
Baton Rouge,42.14307637799683,23.43605010865191,44.39%,67.25%,64.98%,6837,1787754
Spokane,60.43388881108807,27.67071033234763,54.21%,88.74%,90.80%,2208,279814
