Dates,"[Timestamp('2019-11-04 00:00:00'), Timestamp('2019-11-11 00:00:00'), Timestamp('2019-11-18 00:00:00'), Timestamp('2019-11-25 00:00:00'), Timestamp('2019-12-02 00:00:00'), Timestamp('2019-12-09 00:00:00'), Timestamp('2019-12-16 00:00:00'), Timestamp('2019-12-23 00:00:00'), Timestamp('2019-12-30 00:00:00'), Timestamp('2020-01-06 00:00:00'), Timestamp('2020-01-13 00:00:00'), Timestamp('2020-01-20 00:00:00'), Timestamp('2020-01-27 00:00:00'), Timestamp('2020-02-03 00:00:00'), Timestamp('2020-02-17 00:00:00'), Timestamp('2020-02-24 00:00:00'), Timestamp('2020-03-02 00:00:00'), Timestamp('2020-03-09 00:00:00'), Timestamp('2020-03-16 00:00:00'), Timestamp('2020-03-23 00:00:00'), Timestamp('2020-03-30 00:00:00'), Timestamp('2020-04-06 00:00:00'), Timestamp('2020-04-13 00:00:00'), Timestamp('2020-04-20 00:00:00'), Timestamp('2020-04-27 00:00:00')]"
MD,"[48.85130825576967, 50.16894891079579, 43.44428372755153, 52.60194071633954, 47.1699476896107, 41.56412299387614, 47.22707523503788, 46.12202094546237, 47.62933174114047, 41.22181097470183, 42.97402648781204, 7.4021040411007135, 41.998448433079844, 33.865806893176405, 24.130280356528743, 42.74313626325121, 42.235372333669346, 33.396802211276174, 25.18177292450038, 17.91209030403878, 12.958612288185785, 15.466924561518415, 15.328157510705367, 13.806302707807115, 5.709868940698253]"
ME,"[66.31922544385952, 52.98949748715474, 58.292186329368896, 51.526682641381775, 64.21687766849942, 52.7928444575803, 47.75031959466461, 60.09189632984021, 50.45858355639857, 64.66683999765928, 62.22942405441787, 3.1500439213733338, 55.79712704332261, 50.50809109981973, 40.956049699503396, 59.36213171510043, 55.66085424320226, 51.77562923149808, 35.2899740376467, 25.74609168268363, 25.58410843892365, 16.821175578695772, 22.304338380944017, 22.61726090441662, 8.814038658682222]"
MI,"[52.675352631019365, 52.937524326931324, 52.03472282883237, 56.83860885597304, 53.56677291520078, 55.03958412921507, 55.731778123433074, 61.297782041322726, 61.9036406621027, 51.31186437731015, 50.44117330403893, 4.757355357072262, 50.97151554176856, 46.69416970241707, 38.10398503664111, 63.548917294612416, 63.36670348068157, 53.46838701937438, 32.808849802927305, 24.442812707081483, 17.484323271066852, 17.48876556856399, 19.772399190878733, 21.26174888247437, 13.490651127066268]"
MN,"[68.49459177460598, 65.58495534694418, 61.89102349722562, 62.4245836731175, 61.18639030107378, 64.22465084016132, 68.2666723718702, 67.61080214917108, 67.51190984886047, 64.22925463781395, 63.61090608459988, 2.250037985438847, 59.709801913341856, 55.339188839452135, 45.28913162300773, 73.31296614690471, 69.64913187301003, 65.50646853601768, 36.07745169102827, 25.06284055544219, 18.45069105017611, 19.383289738217872, 18.162653577312973, 23.898694122037405, 10.717105938278412]"
MO,"[55.395344042553546, 52.6220511609791, 50.74780928148918, 53.57887630124886, 48.684124847247, 49.019774285802285, 51.20951304784254, 61.74686179132041, 54.81305368244606, 45.61965896035753, 46.14365332656746, 2.8140595031172877, 51.51046803588499, 45.121627435178254, 33.50028816257098, 50.55536884424088, 51.515621720819794, 45.29041140940778, 34.047497730918835, 21.930923353544888, 18.926007853149677, 16.96716931675397, 19.581667056461143, 19.440283330020968, 9.63165880100576]"
MS,"[46.569669409312475, 47.15699694873868, 50.77943585629647, 57.56563284174574, 53.013917491032345, 50.535121358634214, 55.49102257180488, 58.31793896637471, 67.48100445268653, 47.01085267301213, 49.368688156991674, 3.0814813611780343, 43.44135917607554, 35.894980414718205, 37.296116528695286, 47.520898231646825, 45.448051790775175, 60.06087522955862, 37.888184013907306, 25.79197236859932, 19.617929352894922, 21.908474981319166, 23.750538523538665, 28.234043068948804, 13.325283196501141]"
MT,"[66.86988293578604, 71.73078510144377, 54.89362746492183, 63.6896112767251, 78.02863213469595, 74.45704308700304, 90.8250641630511, 77.46323040721344, 96.19636341151065, 69.74693897977114, 58.894419322163685, 0.0, 60.50776925895642, 59.6518558444252, 49.243315909426755, 69.27940736034574, 86.29949235333626, 74.03890287517635, 55.79835374964966, 37.50115517988855, 30.19938941270075, 33.85685685271124, 23.390631901947685, 33.414770409626925, 16.56166110272791]"
NC,"[53.23907110371622, 52.119495636551825, 47.417766579876925, 58.88253779348153, 47.764600390156886, 50.106698407905476, 56.399488781734675, 59.227639118683655, 56.16533765762186, 49.98205877561287, 48.239536037018574, 3.216488948623672, 44.247853200265595, 37.81373790137411, 28.7286189177218, 51.187510487626746, 52.83145655220064, 47.69870504764303, 31.245938672663154, 21.46533425514529, 15.33280040940364, 18.340567804821216, 19.761375850949275, 21.57874588150981, 10.376865376032072]"
ND,"[57.288043522320926, 71.16031782017406, 61.17611436115382, 66.24722853748932, 60.12816525269862, 63.428258935937265, 69.23043873864039, 69.76048117163262, 76.27411193503767, 85.7686776570099, 66.72700499111666, 0.0, 61.093053504179544, 56.18638201901194, 37.64053799789349, 68.4944748021376, 68.25106629097777, 62.664991520827854, 39.04405121612767, 26.558325195646724, 21.240061565139342, 15.01459163031639, 21.56473140542313, 28.55108353314225, 13.596995021858694]"
NE,"[52.8945363894394, 51.60674792504153, 54.84200711718115, 56.87526585169679, 46.94401902594322, 48.93186586009463, 54.801873068317406, 60.06491345999648, 60.8955030349368, 61.36179718189843, 56.0693171713481, 4.577801319386127, 54.39634992222125, 43.69258603015727, 40.2072845135037, 58.74479157787353, 52.480062313322385, 50.69644192656507, 31.082869025397162, 26.362391467925345, 18.39366243674564, 22.1859368764087, 20.3763904603069, 21.927758878375567, 12.859761459741216]"
NH,"[59.767860415470075, 59.92476089779888, 47.552630024049165, 65.43199109757472, 60.161103740196545, 67.32866421055942, 45.684365774374285, 50.03379963440897, 69.20656279586157, 55.395109284453405, 41.448100743896596, 1.2221442855560118, 41.769253076121494, 37.53614839128428, 43.443564777773936, 67.41683731749357, 75.17013638562433, 47.401875340985185, 34.1320157094464, 22.77918592150811, 21.098917891203538, 11.68989699081414, 17.962018352954832, 17.447634743949514, 11.254204608331037]"
NJ,"[54.700033463444605, 51.92812697577857, 46.04304792784022, 45.441683471843035, 47.792966518773184, 46.327288608945494, 43.861330929765046, 43.272925635230216, 47.4770522243888, 46.377746517890216, 50.54191383355173, 0.5524237025568914, 45.64452721765314, 37.79295829013811, 30.13492385955991, 51.31510560827121, 48.68593815825147, 41.84376458118645, 25.93239214635614, 17.979244224114844, 11.624566968536227, 11.33102771611792, 13.613742974389242, 15.357416519580159, 6.4861365197397625]"
NM,"[58.8690796242371, 58.115803927454216, 59.047087029644345, 57.540528508913575, 52.75303676436099, 56.297310810197786, 62.164948701709605, 66.3877788375479, 66.78359069996057, 45.66128077331794, 50.56043201204407, 0.0, 41.52640896728453, 39.44260121273751, 34.600297375397595, 51.854353418717295, 47.54777959812454, 44.96196095124302, 34.10080206611671, 29.883441163810996, 17.321145644073432, 21.50695809925726, 28.834952568413517, 27.111093543512077, 10.8344657046066]"
NV,"[78.2492639728186, 80.0015150565183, 79.45244339769845, 88.84705200882448, 81.25613530759986, 77.9398985512488, 83.25833425677558, 85.17487973807697, 78.49233600093052, 75.07993649120672, 75.81026124663056, 4.260384301007446, 70.68186957810454, 65.10468337191989, 49.351022762580655, 74.40997637871469, 78.34633205854004, 69.52289133987254, 52.81422853129954, 40.48365213178868, 26.314030050577806, 31.16184087616929, 33.579627161485554, 34.22903624427145, 13.745827471157046]"
NY,"[69.28753669902602, 70.38958725823443, 64.53809253194808, 72.04390128727854, 67.01270950531638, 64.34054906649234, 74.03374465408267, 75.28106504022773, 72.74445685984588, 67.37833020075591, 69.57768529498247, 4.641765269646837, 58.13108960534825, 52.61614106089966, 39.92563757215991, 71.8121859454969, 62.205503036358, 53.079008636501676, 40.9194446211505, 27.113727640932456, 20.784343251230016, 20.619799547052782, 24.278544460324515, 27.909681497310423, 10.352959660172287]"
OH,"[43.291893525583895, 42.30505583215765, 39.26657865904972, 46.946767622046536, 41.29828558477482, 47.65903337961402, 49.02097344823881, 49.647749341716086, 47.322941241087335, 43.70069304382434, 42.464355244586656, 2.6981041941513184, 39.39724296847759, 31.991329777302926, 28.0583278459577, 42.127187152280115, 45.013161007986746, 44.64608679150531, 27.15974158942256, 17.31893663449721, 13.422044533294358, 13.351895842973745, 14.95420651525188, 16.26212557317924, 7.641816191378611]"
OK,"[47.64683620917214, 48.77889617339572, 47.808923409620284, 63.23291985708397, 47.09754224890618, 53.60474013572628, 58.22566290144236, 66.44130529322004, 60.98779389791524, 50.993278556685325, 48.619058887674406, 4.392484612335121, 39.21467928216604, 37.30994386262145, 32.40885924376579, 48.71383504797186, 45.49240552518322, 45.28102384752936, 44.29506025548587, 27.74078838953846, 17.040786780863883, 20.143453582663483, 24.48583895767821, 27.88582094635909, 11.260575974319641]"
OR,"[69.02277095771376, 70.41866740760206, 67.7081840667104, 69.10684889794986, 64.32060044454995, 79.11536334695327, 68.6916496531977, 77.34966235393229, 84.44782939575528, 62.57800264484232, 68.36372426748818, 0.485473815778191, 58.545589632206536, 57.21552004687583, 41.320778116267945, 65.34122674636865, 68.67536216901817, 50.058931090014156, 38.68035376164303, 27.55901221737109, 26.51979371332996, 22.279765847650555, 25.710700903712052, 26.27553043125594, 14.746441878434734]"
